sample_id,group_id,split_role,family,block_index,layer,k_x_W_mK,k_y_W_mK,k_z_W_mK,control_volume_count,bbox_fraction_xy,block_id,source_power_W,power_fraction,source_volume_m3,surface_power_density_W_cm2,q_W_m3
rb_g000_v2,rb_g000,valid,q,1,silicon_die_upper,,,,352,"[0.8171219196, 0.945138783, 0.268589576, 0.4453170058]",q01,2.468178970658648,0.3525969958083783,2.9541015624999996e-10,109.09516517168393,8355091788.279193
rb_g000_v2,rb_g000,valid,q,2,silicon_die_lower,,,,288,"[0.1782518421, 0.3216148992, 0.139153815, 0.2528034206]",q02,1.840873419926737,0.262981917132391,2.471923828124999e-10,112.98446688571246,7447128422.735721
rb_g000_v3,rb_g000,valid,k,0,silicon_die_lower,135.0,135.0,135.0,440,"[0.1118471787, 0.272675797, 0.0980259901, 0.2687228623]",k00,,,,,
rb_g000_v3,rb_g000,valid,k,1,silicon_die_upper,150.0,150.0,150.0,560,"[0.5688709837, 0.7307616026, 0.3412989741, 0.5503370649]",k01,,,,,
rb_g000_v3,rb_g000,valid,q,0,silicon_die_lower,,,,352,"[0.0690129029, 0.1975280211, 0.4202557918, 0.5843046149]",q00,2.7457657783331335,0.3922522540475905,3.021240234374998e-10,130.23752933294202,9088207376.204058
rb_g000_v3,rb_g000,valid,q,1,silicon_die_upper,,,,352,"[0.8171219196, 0.945138783, 0.268589576, 0.4453170058]",q01,2.396105176814121,0.34230073954487444,2.9541015624999996e-10,105.90945516544384,8111113061.347637
rb_g000_v3,rb_g000,valid,q,2,silicon_die_lower,,,,288,"[0.1782518421, 0.3216148992, 0.139153815, 0.2528034206]",q02,1.8581290448527457,0.2654470064075351,2.471923828124999e-10,114.0435389337637,7516934881.695653
rb_g000_v4,rb_g000,valid,k,0,silicon_die_lower,140.0,140.0,140.0,440,"[0.1118471787, 0.272675797, 0.0980259901, 0.2687228623]",k00,,,,,
rb_g000_v4,rb_g000,valid,k,1,silicon_die_upper,385.0,385.0,385.0,560,"[0.5688709837, 0.7307616026, 0.3412989741, 0.5503370649]",k01,,,,,
rb_g000_v4,rb_g000,valid,q,0,silicon_die_lower,,,,352,"[0.0690129029, 0.1975280211, 0.4202557918, 0.5843046149]",q00,6.223202367429744,0.3771637798442269,3.021240234374998e-10,295.1797663400812,20598171229.892727
rb_g000_v4,rb_g000,valid,q,1,silicon_die_upper,,,,352,"[0.8171219196, 0.945138783, 0.268589576, 0.4453170058]",q01,5.5635004105685075,0.337181843064758,2.9541015624999996e-10,245.9104479209359,18833138579.907944
rb_g000_v4,rb_g000,valid,q,2,silicon_die_lower,,,,288,"[0.1782518421, 0.3216148992, 0.139153815, 0.2528034206]",q02,4.71329722200175,0.28565437709101515,2.471923828124999e-10,289.2808207980812,19067323872.90783
rb_g000_v5,rb_g000,valid,k,0,silicon_die_lower,150.0,150.0,150.0,440,"[0.1118471787, 0.272675797, 0.0980259901, 0.2687228623]",k00,,,,,
rb_g000_v5,rb_g000,valid,k,1,silicon_die_upper,400.0,400.0,400.0,560,"[0.5688709837, 0.7307616026, 0.3412989741, 0.5503370649]",k01,,,,,
rb_g000_v5,rb_g000,valid,q,0,silicon_die_lower,,,,352,"[0.0690129029, 0.1975280211, 0.4202557918, 0.5843046149]",q00,5.939743733715144,0.34939669021853786,3.021240234374998e-10,281.73471854525724,19659951784.482624
rb_g000_v5,rb_g000,valid,q,1,silicon_die_upper,,,,352,"[0.8171219196, 0.945138783, 0.268589576, 0.4453170058]",q01,5.766234000884327,0.3391902353461369,2.9541015624999996e-10,254.87140852560825,19519416915.390255
rb_g000_v5,rb_g000,valid,q,2,silicon_die_lower,,,,288,"[0.1782518421, 0.3216148992, 0.139153815, 0.2528034206]",q02,5.294022265400527,0.3114130744353251,2.471923828124999e-10,324.923091866455,21416607604.03019
rb_g000_v6,rb_g000,valid,k,0,silicon_die_lower,385.0,385.0,385.0,440,"[0.1118471787, 0.272675797, 0.0980259901, 0.2687228623]",k00,,,,,
rb_g000_v6,rb_g000,valid,k,1,silicon_die_upper,600.0,600.0,600.0,560,"[0.5688709837, 0.7307616026, 0.3412989741, 0.5503370649]",k01,,,,,
rb_g000_v6,rb_g000,valid,q,0,silicon_die_lower,,,,352,"[0.0690129029, 0.1975280211, 0.4202557918, 0.5843046149]",q00,8.690686402165282,0.3476274560866113,3.021240234374998e-10,412.2177988220515,28765294144.05577
rb_g000_v6,rb_g000,valid,q,1,silicon_die_upper,,,,352,"[0.8171219196, 0.945138783, 0.268589576, 0.4453170058]",q01,8.726922718253807,0.3490769087301523,2.9541015624999996e-10,385.7358346807224,29541715251.21289
rb_g000_v6,rb_g000,valid,q,2,silicon_die_lower,,,,288,"[0.1782518421, 0.3216148992, 0.139153815, 0.2528034206]",q02,7.5823908795809105,0.30329563518323643,2.471923828124999e-10,465.37278553494036,30674047449.642883
rb_g000_v7,rb_g000,valid,k,0,silicon_die_lower,400.0,400.0,400.0,440,"[0.1118471787, 0.272675797, 0.0980259901, 0.2687228623]",k00,,,,,
rb_g000_v7,rb_g000,valid,k,1,silicon_die_upper,20.0,20.0,20.0,560,"[0.5688709837, 0.7307616026, 0.3412989741, 0.5503370649]",k01,,,,,
rb_g000_v7,rb_g000,valid,q,0,silicon_die_lower,,,,352,"[0.0690129029, 0.1975280211, 0.4202557918, 0.5843046149]",q00,8.67092574529772,0.34683702981190884,3.021240234374998e-10,411.2805087047606,28699888365.85009
rb_g000_v7,rb_g000,valid,q,1,silicon_die_upper,,,,352,"[0.8171219196, 0.945138783, 0.268589576, 0.4453170058]",q01,8.809608140739488,0.35238432562957955,2.9541015624999996e-10,389.39058578694335,29821615656.585907
rb_g000_v7,rb_g000,valid,q,2,silicon_die_lower,,,,288,"[0.1782518421, 0.3216148992, 0.139153815, 0.2528034206]",q02,7.51946611396279,0.3007786445585116,2.471923828124999e-10,461.51074862337765,30419489583.004047
rb_g023_v0,rb_g023,train,k,0,silicon_die_upper,385.0,385.0,385.0,400,"[0.7124184102, 0.8594540556, 0.7121367231, 0.8610272017]",k00,,,,,
rb_g023_v0,rb_g023,train,k,1,silicon_die_lower,600.0,600.0,600.0,216,"[0.0825863707, 0.2276635106, 0.1339456119, 0.2277787905]",k01,,,,,
rb_g023_v0,rb_g023,train,k,2,silicon_die_upper,50.0,50.0,50.0,400,"[0.4429130007, 0.6065433146, 0.253798275, 0.4070015135]",k02,,,,,
rb_g023_v0,rb_g023,train,k,3,silicon_die_lower,135.0,135.0,135.0,440,"[0.1777003745, 0.3363139997, 0.4808351309, 0.652782295]",k03,,,,,
rb_g023_v0,rb_g023,train,k,4,silicon_die_upper,150.0,150.0,150.0,256,"[0.2694800973, 0.4032660819, 0.0420857895, 0.1660852541]",k04,,,,,
rb_g023_v0,rb_g023,train,k,5,silicon_die_lower,400.0,400.0,400.0,252,"[0.4292921077, 0.5646588824, 0.0815942633, 0.1886983731]",k05,,,,,
rb_g023_v0,rb_g023,train,k,6,silicon_die_upper,20.0,20.0,20.0,560,"[0.5030464861, 0.65959651, 0.4171352264, 0.6327751565]",k06,,,,,
rb_g023_v0,rb_g023,train,k,7,silicon_die_lower,120.0,120.0,120.0,252,"[0.3051493107, 0.4136739496, 0.7395746014, 0.8763939864]",k07,,,,,
rb_g023_v0,rb_g023,train,q,0,silicon_die_upper,,,,80,"[0.8356376247, 0.9180487564, 0.0987826211, 0.167615933]",q00,0.17693169811556972,0.09829538784198318,6.713867187499994e-11,31.190411290262062,2635317219.93227
rb_g023_v0,rb_g023,train,q,1,silicon_die_lower,,,,96,"[0.1154190027, 0.1869796992, 0.8523757511, 0.9385961973]",q01,0.19543984889733793,0.1085776938318544,8.239746093749986e-11,31.675851133254195,2371915914.321474
rb_g023_v0,rb_g023,train,q,2,silicon_die_upper,,,,80,"[0.3923953794, 0.4572708309, 0.5207060051, 0.6073322841]",q02,0.14468278604364,0.08037932557979999,6.713867187499996e-11,25.74463920650264,2154984333.217272
rb_g023_v0,rb_g023,train,q,3,silicon_die_lower,,,,100,"[0.5803289523, 0.670901813, 0.4198105567, 0.4863036197]",q03,0.18527104598443403,0.10292835888024113,8.583068847656241e-11,30.763314777384437,2158564136.8241568
rb_g023_v0,rb_g023,train,q,4,silicon_die_upper,,,,96,"[0.7560575726, 0.8442621477, 0.4552698468, 0.5257657161]",q04,0.19175781131211572,0.10653211739561984,8.056640625000016e-11,30.838857599711506,2380121197.3770437
rb_g023_v0,rb_g023,train,q,5,silicon_die_lower,,,,100,"[0.3010455313, 0.3861298833, 0.3733509602, 0.4412938687]",q05,0.2266602317911802,0.1259223509951001,8.583068847656241e-11,39.20861473874566,2640783102.3407645
rb_g023_v0,rb_g023,train,q,6,silicon_die_upper,,,,80,"[0.8629459151, 0.9426511433, 0.2680711568, 0.3414561951]",q06,0.17990490516989624,0.09994716953883125,6.713867187499993e-11,30.75733266733178,2679601787.5487123
rb_g023_v0,rb_g023,train,q,7,silicon_die_lower,,,,80,"[0.7665342488, 0.849693999, 0.2847601442, 0.3494455743]",q07,0.16846804732007273,0.09359335962226263,6.866455078125003e-11,31.318279510964192,2453493766.4818406
rb_g023_v0,rb_g023,train,q,8,silicon_die_upper,,,,100,"[0.481550362, 0.5558645135, 0.7540395779, 0.8306642811]",q08,0.18448409058003232,0.10249116143335128,8.392333984375013e-11,32.39802907940025,2198245338.2278147
rb_g023_v0,rb_g023,train,q,9,silicon_die_lower,,,,80,"[0.2065247187, 0.2745608412, 0.1124281184, 0.2006769356]",q09,0.14639953478572135,0.0813330748809563,6.866455078124994e-11,24.383230771270036,2132097758.1593428
rb_g023_v1,rb_g023,train,k,0,silicon_die_upper,400.0,400.0,400.0,400,"[0.7124184102, 0.8594540556, 0.7121367231, 0.8610272017]",k00,,,,,
rb_g023_v1,rb_g023,train,k,1,silicon_die_lower,20.0,20.0,20.0,216,"[0.0825863707, 0.2276635106, 0.1339456119, 0.2277787905]",k01,,,,,
rb_g023_v1,rb_g023,train,k,2,silicon_die_upper,120.0,120.0,120.0,400,"[0.4429130007, 0.6065433146, 0.253798275, 0.4070015135]",k02,,,,,
rb_g023_v1,rb_g023,train,k,3,silicon_die_lower,140.0,140.0,140.0,440,"[0.1777003745, 0.3363139997, 0.4808351309, 0.652782295]",k03,,,,,
rb_g023_v1,rb_g023,train,k,4,silicon_die_upper,385.0,385.0,385.0,256,"[0.2694800973, 0.4032660819, 0.0420857895, 0.1660852541]",k04,,,,,
rb_g023_v1,rb_g023,train,k,5,silicon_die_lower,600.0,600.0,600.0,252,"[0.4292921077, 0.5646588824, 0.0815942633, 0.1886983731]",k05,,,,,
rb_g023_v1,rb_g023,train,k,6,silicon_die_upper,50.0,50.0,50.0,560,"[0.5030464861, 0.65959651, 0.4171352264, 0.6327751565]",k06,,,,,
rb_g023_v1,rb_g023,train,k,7,silicon_die_lower,135.0,135.0,135.0,252,"[0.3051493107, 0.4136739496, 0.7395746014, 0.8763939864]",k07,,,,,
rb_g023_v1,rb_g023,train,q,0,silicon_die_upper,,,,80,"[0.8356376247, 0.9180487564, 0.0987826211, 0.167615933]",q00,0.22800003921426637,0.09120001568570654,6.713867187499994e-11,40.19299578893859,3395956947.7150397
rb_g023_v1,rb_g023,train,q,1,silicon_die_lower,,,,96,"[0.1154190027, 0.1869796992, 0.8523757511, 0.9385961973]",q01,0.25185544315571284,0.10074217726228514,8.239746093749986e-11,40.81939056702161,3056592281.9727454
rb_g023_v1,rb_g023,train,q,2,silicon_die_upper,,,,80,"[0.3923953794, 0.4572708309, 0.5207060051, 0.6073322841]",q02,0.20158926493042867,0.08063570597217147,6.713867187499996e-11,35.87049320416441,3002580469.6546774
rb_g023_v1,rb_g023,train,q,3,silicon_die_lower,,,,100,"[0.5803289523, 0.670901813, 0.4198105567, 0.4863036197]",q03,0.28086327038800674,0.11234530815520269,8.583068847656241e-11,46.63591739573717,3272294273.4486094
rb_g023_v1,rb_g023,train,q,4,silicon_die_upper,,,,96,"[0.7560575726, 0.8442621477, 0.4552698468, 0.5257657161]",q04,0.2945222438942976,0.11780889755771903,8.056640625000016e-11,47.36562999574598,3655645790.8819413
rb_g023_v1,rb_g023,train,q,5,silicon_die_lower,,,,100,"[0.3010455313, 0.3861298833, 0.3733509602, 0.4412938687]",q05,0.3245180022096029,0.12980720088384118,8.583068847656241e-11,56.13645245075958,3780908763.165966
rb_g023_v1,rb_g023,train,q,6,silicon_die_upper,,,,80,"[0.8629459151, 0.9426511433, 0.2680711568, 0.3414561951]",q06,0.23565067590959488,0.09426027036383795,6.713867187499993e-11,40.287874448938666,3509909703.729824
rb_g023_v1,rb_g023,train,q,7,silicon_die_lower,,,,80,"[0.7665342488, 0.849693999, 0.2847601442, 0.3494455743]",q07,0.21502682142949203,0.08601072857179681,6.866455078125003e-11,39.97357482922898,3131555059.82293
rb_g023_v1,rb_g023,train,q,8,silicon_die_upper,,,,100,"[0.481550362, 0.5558645135, 0.7540395779, 0.8306642811]",q08,0.2502732027060068,0.1001092810824027,8.392333984375013e-11,43.95153247941615,2982164475.007425
rb_g023_v1,rb_g023,train,q,9,silicon_die_lower,,,,80,"[0.2065247187, 0.2745608412, 0.1124281184, 0.2006769356]",q09,0.21770103616259112,0.08708041446503645,6.866455078124994e-11,36.25868491772549,3170501134.6559076
rb_g023_v2,rb_g023,train,k,0,silicon_die_upper,600.0,600.0,600.0,400,"[0.7124184102, 0.8594540556, 0.7121367231, 0.8610272017]",k00,,,,,
rb_g023_v2,rb_g023,train,k,1,silicon_die_lower,50.0,50.0,50.0,216,"[0.0825863707, 0.2276635106, 0.1339456119, 0.2277787905]",k01,,,,,
rb_g023_v2,rb_g023,train,k,2,silicon_die_upper,135.0,135.0,135.0,400,"[0.4429130007, 0.6065433146, 0.253798275, 0.4070015135]",k02,,,,,
rb_g023_v2,rb_g023,train,k,3,silicon_die_lower,150.0,150.0,150.0,440,"[0.1777003745, 0.3363139997, 0.4808351309, 0.652782295]",k03,,,,,
rb_g023_v2,rb_g023,train,k,4,silicon_die_upper,400.0,400.0,400.0,256,"[0.2694800973, 0.4032660819, 0.0420857895, 0.1660852541]",k04,,,,,
rb_g023_v2,rb_g023,train,k,5,silicon_die_lower,20.0,20.0,20.0,252,"[0.4292921077, 0.5646588824, 0.0815942633, 0.1886983731]",k05,,,,,
rb_g023_v2,rb_g023,train,k,6,silicon_die_upper,120.0,120.0,120.0,560,"[0.5030464861, 0.65959651, 0.4171352264, 0.6327751565]",k06,,,,,
rb_g023_v2,rb_g023,train,k,7,silicon_die_lower,140.0,140.0,140.0,252,"[0.3051493107, 0.4136739496, 0.7395746014, 0.8763939864]",k07,,,,,
rb_g023_v2,rb_g023,train,q,0,silicon_die_upper,,,,80,"[0.8356376247, 0.9180487564, 0.0987826211, 0.167615933]",q00,0.580042433526025,0.08286320478943214,6.713867187499994e-11,102.25280297521299,8639468391.718548
rb_g023_v2,rb_g023,train,q,1,silicon_die_lower,,,,96,"[0.1154190027, 0.1869796992, 0.8523757511, 0.9385961973]",q01,0.6861475639929863,0.0980210805704266,8.239746093749986e-11,111.2071474426057,8327290139.60082
rb_g023_v2,rb_g023,train,q,2,silicon_die_upper,,,,80,"[0.3923953794, 0.4572708309, 0.5207060051, 0.6073322841]",q02,0.6007318822741722,0.08581884032488174,6.713867187499996e-11,106.89333535730339,8947628326.527311
rb_g023_v2,rb_g023,train,q,3,silicon_die_lower,,,,100,"[0.5803289523, 0.670901813, 0.4198105567, 0.4863036197]",q03,0.8610994266235579,0.1230142038033654,8.583068847656241e-11,142.98117968239572,10032535470.791386
rb_g023_v2,rb_g023,train,q,4,silicon_die_upper,,,,96,"[0.7560575726, 0.8442621477, 0.4552698468, 0.5257657161]",q04,0.8512742508599112,0.1216106072657016,8.056640625000016e-11,136.90355152124752,10566119186.430876
rb_g023_v2,rb_g023,train,q,5,silicon_die_lower,,,,100,"[0.3010455313, 0.3861298833, 0.3733509602, 0.4412938687]",q05,0.8554096108032199,0.12220137297188854,8.583068847656241e-11,147.97225613315067,9966244311.75109
rb_g023_v2,rb_g023,train,q,6,silicon_die_upper,,,,80,"[0.8629459151, 0.9426511433, 0.2680711568, 0.3414561951]",q06,0.5964436677572936,0.08520623825104194,6.713867187499993e-11,101.97062881198356,8883757320.486826
rb_g023_v2,rb_g023,train,q,7,silicon_die_lower,,,,80,"[0.7665342488, 0.849693999, 0.2847601442, 0.3494455743]",q07,0.5711542647344032,0.08159346639062903,6.866455078125003e-11,106.1778134867715,8318036865.251964
rb_g023_v2,rb_g023,train,q,8,silicon_die_upper,,,,100,"[0.481550362, 0.5558645135, 0.7540395779, 0.8306642811]",q08,0.7293890718165333,0.10419843883093334,8.392333984375013e-11,128.09109059004402,8691134947.376047
rb_g023_v2,rb_g023,train,q,9,silicon_die_lower,,,,80,"[0.2065247187, 0.2745608412, 0.1124281184, 0.2006769356]",q09,0.6683078276118968,0.09547254680169953,6.866455078124994e-11,111.30844104633294,9732938175.638514
rb_g023_v3,rb_g023,train,k,0,silicon_die_upper,20.0,20.0,20.0,400,"[0.7124184102, 0.8594540556, 0.7121367231, 0.8610272017]",k00,,,,,
rb_g023_v3,rb_g023,train,k,1,silicon_die_lower,120.0,120.0,120.0,216,"[0.0825863707, 0.2276635106, 0.1339456119, 0.2277787905]",k01,,,,,
rb_g023_v3,rb_g023,train,k,2,silicon_die_upper,140.0,140.0,140.0,400,"[0.4429130007, 0.6065433146, 0.253798275, 0.4070015135]",k02,,,,,
rb_g023_v3,rb_g023,train,k,3,silicon_die_lower,385.0,385.0,385.0,440,"[0.1777003745, 0.3363139997, 0.4808351309, 0.652782295]",k03,,,,,
rb_g023_v3,rb_g023,train,k,4,silicon_die_upper,600.0,600.0,600.0,256,"[0.2694800973, 0.4032660819, 0.0420857895, 0.1660852541]",k04,,,,,
rb_g023_v3,rb_g023,train,k,5,silicon_die_lower,50.0,50.0,50.0,252,"[0.4292921077, 0.5646588824, 0.0815942633, 0.1886983731]",k05,,,,,
rb_g023_v3,rb_g023,train,k,6,silicon_die_upper,135.0,135.0,135.0,560,"[0.5030464861, 0.65959651, 0.4171352264, 0.6327751565]",k06,,,,,
rb_g023_v3,rb_g023,train,k,7,silicon_die_lower,150.0,150.0,150.0,252,"[0.3051493107, 0.4136739496, 0.7395746014, 0.8763939864]",k07,,,,,
rb_g023_v3,rb_g023,train,q,0,silicon_die_upper,,,,80,"[0.8356376247, 0.9180487564, 0.0987826211, 0.167615933]",q00,0.5493720125428668,0.0784817160775524,6.713867187499994e-11,96.84606661819609,8182646412.274853
rb_g023_v3,rb_g023,train,q,1,silicon_die_lower,,,,96,"[0.1154190027, 0.1869796992, 0.8523757511, 0.9385961973]",q01,0.712785346137655,0.10182647801966499,8.239746093749986e-11,115.52445748196112,8650574156.38471
rb_g023_v3,rb_g023,train,q,2,silicon_die_upper,,,,80,"[0.3923953794, 0.4572708309, 0.5207060051, 0.6073322841]",q02,0.6514461252268579,0.09306373217526541,6.713867187499996e-11,115.91735212633355,9702993923.37895
rb_g023_v3,rb_g023,train,q,3,silicon_die_lower,,,,100,"[0.5803289523, 0.670901813, 0.4198105567, 0.4863036197]",q03,0.8918196670352777,0.12740280957646824,8.583068847656241e-11,148.08211933975625,10390452213.12427
rb_g023_v3,rb_g023,train,q,4,silicon_die_upper,,,,96,"[0.7560575726, 0.8442621477, 0.4552698468, 0.5257657161]",q04,0.8036234011430466,0.11480334302043524,8.056640625000016e-11,129.24025082508027,9974671063.884584
rb_g023_v3,rb_g023,train,q,5,silicon_die_lower,,,,100,"[0.3010455313, 0.3861298833, 0.3733509602, 0.4412938687]",q05,0.7649746258535156,0.10928208940764508,8.583068847656241e-11,132.32844223701048,8912600369.766409
rb_g023_v3,rb_g023,train,q,6,silicon_die_upper,,,,80,"[0.8629459151, 0.9426511433, 0.2680711568, 0.3414561951]",q06,0.5519221238075034,0.0788460176867862,6.713867187499993e-11,94.35903013526183,8220629160.420133
rb_g023_v3,rb_g023,train,q,7,silicon_die_lower,,,,80,"[0.7665342488, 0.849693999, 0.2847601442, 0.3494455743]",q07,0.5788995892390711,0.08269994131986731,6.866455078125003e-11,107.61767250810539,8430836328.9715
rb_g023_v3,rb_g023,train,q,8,silicon_die_upper,,,,100,"[0.481550362, 0.5558645135, 0.7540395779, 0.8306642811]",q08,0.7883195056992011,0.112617072242743,8.392333984375013e-11,138.44011258207365,9393328568.27323
rb_g023_v3,rb_g023,train,q,9,silicon_die_lower,,,,80,"[0.2065247187, 0.2745608412, 0.1124281184, 0.2006769356]",q09,0.7068376033150048,0.10097680047357212,6.866455078124994e-11,117.72567737095126,10294068704.633821
rb_g023_v4,rb_g023,train,k,0,silicon_die_upper,50.0,50.0,50.0,400,"[0.7124184102, 0.8594540556, 0.7121367231, 0.8610272017]",k00,,,,,
rb_g023_v4,rb_g023,train,k,1,silicon_die_lower,135.0,135.0,135.0,216,"[0.0825863707, 0.2276635106, 0.1339456119, 0.2277787905]",k01,,,,,
rb_g023_v4,rb_g023,train,k,2,silicon_die_upper,150.0,150.0,150.0,400,"[0.4429130007, 0.6065433146, 0.253798275, 0.4070015135]",k02,,,,,
rb_g023_v4,rb_g023,train,k,3,silicon_die_lower,400.0,400.0,400.0,440,"[0.1777003745, 0.3363139997, 0.4808351309, 0.652782295]",k03,,,,,
rb_g023_v4,rb_g023,train,k,4,silicon_die_upper,20.0,20.0,20.0,256,"[0.2694800973, 0.4032660819, 0.0420857895, 0.1660852541]",k04,,,,,
rb_g023_v4,rb_g023,train,k,5,silicon_die_lower,120.0,120.0,120.0,252,"[0.4292921077, 0.5646588824, 0.0815942633, 0.1886983731]",k05,,,,,
rb_g023_v4,rb_g023,train,k,6,silicon_die_upper,140.0,140.0,140.0,560,"[0.5030464861, 0.65959651, 0.4171352264, 0.6327751565]",k06,,,,,
rb_g023_v4,rb_g023,train,k,7,silicon_die_lower,385.0,385.0,385.0,252,"[0.3051493107, 0.4136739496, 0.7395746014, 0.8763939864]",k07,,,,,
rb_g023_v4,rb_g023,train,q,0,silicon_die_upper,,,,80,"[0.8356376247, 0.9180487564, 0.0987826211, 0.167615933]",q00,1.3250701866855668,0.0803072840415495,6.713867187499994e-11,233.59004944490627,19736318126.051224
rb_g023_v4,rb_g023,train,q,1,silicon_die_lower,,,,96,"[0.1154190027, 0.1869796992, 0.8523757511, 0.9385961973]",q01,1.8187011397481947,0.11022431149989059,8.239746093749986e-11,294.7654067661748,22072295906.395905
rb_g023_v4,rb_g023,train,q,2,silicon_die_upper,,,,80,"[0.3923953794, 0.4572708309, 0.5207060051, 0.6073322841]",q02,1.6103331826885983,0.09759595046597565,6.713867187499996e-11,286.5402852974676,23985180786.51819
rb_g023_v4,rb_g023,train,q,3,silicon_die_lower,,,,100,"[0.5803289523, 0.670901813, 0.4198105567, 0.4863036197]",q03,2.0137667635265015,0.12204647051675767,8.583068847656241e-11,334.3757277637723,23462083309.23963
rb_g023_v4,rb_g023,train,q,4,silicon_die_upper,,,,96,"[0.7560575726, 0.8442621477, 0.4552698468, 0.5257657161]",q04,1.69854379958372,0.10294204845961939,8.056640625000016e-11,273.16305919333206,21082531524.53001
rb_g023_v4,rb_g023,train,q,5,silicon_die_lower,,,,100,"[0.3010455313, 0.3861298833, 0.3733509602, 0.4412938687]",q05,1.6479892655443635,0.099878137305719,8.583068847656241e-11,285.0759292695283,19200466578.971645
rb_g023_v4,rb_g023,train,q,6,silicon_die_upper,,,,80,"[0.8629459151, 0.9426511433, 0.2680711568, 0.3414561951]",q06,1.2967132077065087,0.07858867925493992,6.713867187499993e-11,221.69178470085282,19313953813.694057
rb_g023_v4,rb_g023,train,q,7,silicon_die_lower,,,,80,"[0.7665342488, 0.849693999, 0.2847601442, 0.3494455743]",q07,1.4654818828836231,0.08881708381112867,6.866455078125003e-11,272.43368672282884,21342626817.035797
rb_g023_v4,rb_g023,train,q,8,silicon_die_upper,,,,100,"[0.481550362, 0.5558645135, 0.7540395779, 0.8306642811]",q08,1.9835550869571594,0.12021545981558542,8.392333984375013e-11,348.3404730770096,23635321123.42258
rb_g023_v4,rb_g023,train,q,9,silicon_die_lower,,,,80,"[0.2065247187, 0.2745608412, 0.1124281184, 0.2006769356]",q09,1.6398454846757637,0.09938457482883417,6.866455078124994e-11,273.12061435576436,23881980818.602432
rb_g023_v5,rb_g023,train,k,0,silicon_die_upper,120.0,120.0,120.0,400,"[0.7124184102, 0.8594540556, 0.7121367231, 0.8610272017]",k00,,,,,
rb_g023_v5,rb_g023,train,k,1,silicon_die_lower,140.0,140.0,140.0,216,"[0.0825863707, 0.2276635106, 0.1339456119, 0.2277787905]",k01,,,,,
rb_g023_v5,rb_g023,train,k,2,silicon_die_upper,385.0,385.0,385.0,400,"[0.4429130007, 0.6065433146, 0.253798275, 0.4070015135]",k02,,,,,
