sample_id,group_id,split_role,family,block_index,layer,k_x_W_mK,k_y_W_mK,k_z_W_mK,control_volume_count,bbox_fraction_xy,block_id,source_power_W,power_fraction,source_volume_m3,surface_power_density_W_cm2,q_W_m3
rb_g000_v2,rb_g000,valid,q,1,silicon_die_upper,,,,352,"[0.8171219196, 0.945138783, 0.268589576, 0.4453170058]",q01,2.820775966467026,0.3525969958083783,2.9541015624999996e-10,124.68018876763875,9548676329.461935
rb_g000_v2,rb_g000,valid,q,2,silicon_die_lower,,,,288,"[0.1782518421, 0.3216148992, 0.139153815, 0.2528034206]",q02,2.103855337059128,0.262981917132391,2.471923828124999e-10,129.1251050122428,8511003911.697967
rb_g000_v3,rb_g000,valid,k,0,silicon_die_lower,135.0,135.0,135.0,440,"[0.1118471787, 0.272675797, 0.0980259901, 0.2687228623]",k00,,,,,
rb_g000_v3,rb_g000,valid,k,1,silicon_die_upper,150.0,150.0,150.0,560,"[0.5688709837, 0.7307616026, 0.3412989741, 0.5503370649]",k01,,,,,
rb_g000_v3,rb_g000,valid,q,0,silicon_die_lower,,,,352,"[0.0690129029, 0.1975280211, 0.4202557918, 0.5843046149]",q00,4.707027048571086,0.3922522540475905,3.021240234374998e-10,223.2643359993292,15579784073.492672
rb_g000_v3,rb_g000,valid,q,1,silicon_die_upper,,,,352,"[0.8171219196, 0.945138783, 0.268589576, 0.4453170058]",q01,4.107608874538493,0.34230073954487444,2.9541015624999996e-10,181.55906599790376,13904765248.02452
rb_g000_v3,rb_g000,valid,q,2,silicon_die_lower,,,,288,"[0.1782518421, 0.3216148992, 0.139153815, 0.2528034206]",q02,3.185364076890421,0.2654470064075351,2.471923828124999e-10,195.5032096007378,12886174082.906834
rb_g000_v4,rb_g000,valid,k,0,silicon_die_lower,140.0,140.0,140.0,440,"[0.1118471787, 0.272675797, 0.0980259901, 0.2687228623]",k00,,,,,
rb_g000_v4,rb_g000,valid,k,1,silicon_die_upper,385.0,385.0,385.0,560,"[0.5688709837, 0.7307616026, 0.3412989741, 0.5503370649]",k01,,,,,
rb_g000_v4,rb_g000,valid,q,0,silicon_die_lower,,,,352,"[0.0690129029, 0.1975280211, 0.4202557918, 0.5843046149]",q00,9.014214338277021,0.3771637798442269,3.021240234374998e-10,427.5634191229054,29836138932.996124
rb_g000_v4,rb_g000,valid,q,1,silicon_die_upper,,,,352,"[0.8171219196, 0.945138783, 0.268589576, 0.4453170058]",q01,8.058646049247717,0.337181843064758,2.9541015624999996e-10,356.1975578975981,27279515882.41211
rb_g000_v4,rb_g000,valid,q,2,silicon_die_lower,,,,288,"[0.1782518421, 0.3216148992, 0.139153815, 0.2528034206]",q02,6.8271396124752615,0.28565437709101515,2.471923828124999e-10,419.01888588328126,27618729731.060425
rb_g000_v5,rb_g000,valid,k,0,silicon_die_lower,150.0,150.0,150.0,440,"[0.1118471787, 0.272675797, 0.0980259901, 0.2687228623]",k00,,,,,
rb_g000_v5,rb_g000,valid,k,1,silicon_die_upper,400.0,400.0,400.0,560,"[0.5688709837, 0.7307616026, 0.3412989741, 0.5503370649]",k01,,,,,
rb_g000_v5,rb_g000,valid,q,0,silicon_die_lower,,,,352,"[0.0690129029, 0.1975280211, 0.4202557918, 0.5843046149]",q00,11.180694086993212,0.34939669021853786,3.021240234374998e-10,530.3241760851901,37006968064.90846
rb_g000_v5,rb_g000,valid,q,1,silicon_die_upper,,,,352,"[0.8171219196, 0.945138783, 0.268589576, 0.4453170058]",q01,10.854087531076381,0.3391902353461369,2.9541015624999996e-10,479.7579454599684,36742431840.7346
rb_g000_v5,rb_g000,valid,q,2,silicon_die_lower,,,,288,"[0.1782518421, 0.3216148992, 0.139153815, 0.2528034206]",q02,9.965218381930404,0.3114130744353251,2.471923828124999e-10,611.6199376309742,40313614313.46859
rb_g000_v6,rb_g000,valid,k,0,silicon_die_lower,385.0,385.0,385.0,440,"[0.1118471787, 0.272675797, 0.0980259901, 0.2687228623]",k00,,,,,
rb_g000_v6,rb_g000,valid,k,1,silicon_die_upper,600.0,600.0,600.0,560,"[0.5688709837, 0.7307616026, 0.3412989741, 0.5503370649]",k01,,,,,
rb_g000_v6,rb_g000,valid,q,0,silicon_die_lower,,,,352,"[0.0690129029, 0.1975280211, 0.4202557918, 0.5843046149]",q00,13.905098243464451,0.3476274560866113,3.021240234374998e-10,659.5484781152824,46024470630.489235
rb_g000_v6,rb_g000,valid,q,1,silicon_die_upper,,,,352,"[0.8171219196, 0.945138783, 0.268589576, 0.4453170058]",q01,13.96307634920609,0.3490769087301523,2.9541015624999996e-10,617.1773354891558,47266744401.94062
rb_g000_v6,rb_g000,valid,q,2,silicon_die_lower,,,,288,"[0.1782518421, 0.3216148992, 0.139153815, 0.2528034206]",q02,12.131825407329458,0.30329563518323643,2.471923828124999e-10,744.5964568559046,49078475919.42862
rb_g000_v7,rb_g000,valid,k,0,silicon_die_lower,400.0,400.0,400.0,440,"[0.1118471787, 0.272675797, 0.0980259901, 0.2687228623]",k00,,,,,
rb_g000_v7,rb_g000,valid,k,1,silicon_die_upper,20.0,20.0,20.0,560,"[0.5688709837, 0.7307616026, 0.3412989741, 0.5503370649]",k01,,,,,
rb_g000_v7,rb_g000,valid,q,0,silicon_die_lower,,,,352,"[0.0690129029, 0.1975280211, 0.4202557918, 0.5843046149]",q00,16.57881002500924,0.34683702981190884,3.021240234374998e-10,786.3683326435022,54874186555.50537
rb_g000_v7,rb_g000,valid,q,1,silicon_die_upper,,,,352,"[0.8171219196, 0.945138783, 0.268589576, 0.4453170058]",q01,16.8439707650939,0.35238432562957955,2.9541015624999996e-10,744.5148000246355,57018929135.39225
rb_g000_v7,rb_g000,valid,q,2,silicon_die_lower,,,,288,"[0.1782518421, 0.3216148992, 0.139153815, 0.2528034206]",q02,14.377219209896854,0.3007786445585116,2.471923828124999e-10,882.4085513678981,58162064082.703735
rb_g023_v0,rb_g023,train,k,0,silicon_die_upper,385.0,385.0,385.0,400,"[0.7124184102, 0.8594540556, 0.7121367231, 0.8610272017]",k00,,,,,
rb_g023_v0,rb_g023,train,k,1,silicon_die_lower,600.0,600.0,600.0,216,"[0.0825863707, 0.2276635106, 0.1339456119, 0.2277787905]",k01,,,,,
rb_g023_v0,rb_g023,train,k,2,silicon_die_upper,50.0,50.0,50.0,400,"[0.4429130007, 0.6065433146, 0.253798275, 0.4070015135]",k02,,,,,
rb_g023_v0,rb_g023,train,k,3,silicon_die_lower,135.0,135.0,135.0,440,"[0.1777003745, 0.3363139997, 0.4808351309, 0.652782295]",k03,,,,,
rb_g023_v0,rb_g023,train,k,4,silicon_die_upper,150.0,150.0,150.0,256,"[0.2694800973, 0.4032660819, 0.0420857895, 0.1660852541]",k04,,,,,
rb_g023_v0,rb_g023,train,k,5,silicon_die_lower,400.0,400.0,400.0,252,"[0.4292921077, 0.5646588824, 0.0815942633, 0.1886983731]",k05,,,,,
rb_g023_v0,rb_g023,train,k,6,silicon_die_upper,20.0,20.0,20.0,560,"[0.5030464861, 0.65959651, 0.4171352264, 0.6327751565]",k06,,,,,
rb_g023_v0,rb_g023,train,k,7,silicon_die_lower,120.0,120.0,120.0,252,"[0.3051493107, 0.4136739496, 0.7395746014, 0.8763939864]",k07,,,,,
rb_g023_v0,rb_g023,train,q,0,silicon_die_upper,,,,80,"[0.8356376247, 0.9180487564, 0.0987826211, 0.167615933]",q00,0.19659077568396635,0.09829538784198318,6.713867187499994e-11,34.656012544735624,2928130244.369189
rb_g023_v0,rb_g023,train,q,1,silicon_die_lower,,,,96,"[0.1154190027, 0.1869796992, 0.8523757511, 0.9385961973]",q01,0.2171553876637088,0.1085776938318544,8.239746093749986e-11,35.19539014806021,2635462127.02386
rb_g023_v0,rb_g023,train,q,2,silicon_die_upper,,,,80,"[0.3923953794, 0.4572708309, 0.5207060051, 0.6073322841]",q02,0.16075865115959997,0.08037932557979999,6.713867187499996e-11,28.605154673891825,2394427036.9080796
rb_g023_v0,rb_g023,train,q,3,silicon_die_lower,,,,100,"[0.5803289523, 0.670901813, 0.4198105567, 0.4863036197]",q03,0.20585671776048226,0.10292835888024113,8.583068847656241e-11,34.181460863760485,2398404596.471285
rb_g023_v0,rb_g023,train,q,4,silicon_die_upper,,,,96,"[0.7560575726, 0.8442621477, 0.4552698468, 0.5257657161]",q04,0.21306423479123968,0.10653211739561984,8.056640625000016e-11,34.265397333012785,2644579108.1967154
rb_g023_v0,rb_g023,train,q,5,silicon_die_lower,,,,100,"[0.3010455313, 0.3861298833, 0.3733509602, 0.4412938687]",q05,0.2518447019902002,0.1259223509951001,8.583068847656241e-11,43.56512748749517,2934203447.045294
rb_g023_v0,rb_g023,train,q,6,silicon_die_upper,,,,80,"[0.8629459151, 0.9426511433, 0.2680711568, 0.3414561951]",q06,0.1998943390776625,0.09994716953883125,6.713867187499993e-11,34.17481407481309,2977335319.498569
rb_g023_v0,rb_g023,train,q,7,silicon_die_lower,,,,80,"[0.7665342488, 0.849693999, 0.2847601442, 0.3494455743]",q07,0.18718671924452526,0.09359335962226263,6.866455078125003e-11,34.798088345515765,2726104184.9798226
rb_g023_v0,rb_g023,train,q,8,silicon_die_upper,,,,100,"[0.481550362, 0.5558645135, 0.7540395779, 0.8306642811]",q08,0.20498232286670257,0.10249116143335128,8.392333984375013e-11,35.9978100882225,2442494820.253127
rb_g023_v0,rb_g023,train,q,9,silicon_die_lower,,,,80,"[0.2065247187, 0.2745608412, 0.1124281184, 0.2006769356]",q09,0.1626661497619126,0.0813330748809563,6.866455078124994e-11,27.09247863474448,2368997509.0659366
rb_g023_v1,rb_g023,train,k,0,silicon_die_upper,400.0,400.0,400.0,400,"[0.7124184102, 0.8594540556, 0.7121367231, 0.8610272017]",k00,,,,,
rb_g023_v1,rb_g023,train,k,1,silicon_die_lower,20.0,20.0,20.0,216,"[0.0825863707, 0.2276635106, 0.1339456119, 0.2277787905]",k01,,,,,
rb_g023_v1,rb_g023,train,k,2,silicon_die_upper,120.0,120.0,120.0,400,"[0.4429130007, 0.6065433146, 0.253798275, 0.4070015135]",k02,,,,,
rb_g023_v1,rb_g023,train,k,3,silicon_die_lower,140.0,140.0,140.0,440,"[0.1777003745, 0.3363139997, 0.4808351309, 0.652782295]",k03,,,,,
rb_g023_v1,rb_g023,train,k,4,silicon_die_upper,385.0,385.0,385.0,256,"[0.2694800973, 0.4032660819, 0.0420857895, 0.1660852541]",k04,,,,,
rb_g023_v1,rb_g023,train,k,5,silicon_die_lower,600.0,600.0,600.0,252,"[0.4292921077, 0.5646588824, 0.0815942633, 0.1886983731]",k05,,,,,
rb_g023_v1,rb_g023,train,k,6,silicon_die_upper,50.0,50.0,50.0,560,"[0.5030464861, 0.65959651, 0.4171352264, 0.6327751565]",k06,,,,,
rb_g023_v1,rb_g023,train,k,7,silicon_die_lower,135.0,135.0,135.0,252,"[0.3051493107, 0.4136739496, 0.7395746014, 0.8763939864]",k07,,,,,
rb_g023_v1,rb_g023,train,q,0,silicon_die_upper,,,,80,"[0.8356376247, 0.9180487564, 0.0987826211, 0.167615933]",q00,0.36480006274282617,0.09120001568570654,6.713867187499994e-11,64.30879326230173,5433531116.344063
rb_g023_v1,rb_g023,train,q,1,silicon_die_lower,,,,96,"[0.1154190027, 0.1869796992, 0.8523757511, 0.9385961973]",q01,0.40296870904914056,0.10074217726228514,8.239746093749986e-11,65.31102490723458,4890547651.156393
rb_g023_v1,rb_g023,train,q,2,silicon_die_upper,,,,80,"[0.3923953794, 0.4572708309, 0.5207060051, 0.6073322841]",q02,0.3225428238886859,0.08063570597217147,6.713867187499996e-11,57.39278912666306,4804128751.447484
rb_g023_v1,rb_g023,train,q,3,silicon_die_lower,,,,100,"[0.5803289523, 0.670901813, 0.4198105567, 0.4863036197]",q03,0.44938123262081076,0.11234530815520269,8.583068847656241e-11,74.61746783317948,5235670837.517775
rb_g023_v1,rb_g023,train,q,4,silicon_die_upper,,,,96,"[0.7560575726, 0.8442621477, 0.4552698468, 0.5257657161]",q04,0.47123559023087613,0.11780889755771903,8.056640625000016e-11,75.78500799319356,5849033265.411105
rb_g023_v1,rb_g023,train,q,5,silicon_die_lower,,,,100,"[0.3010455313, 0.3861298833, 0.3733509602, 0.4412938687]",q05,0.5192288035353647,0.12980720088384118,8.583068847656241e-11,89.81832392121534,6049454021.065546
rb_g023_v1,rb_g023,train,q,6,silicon_die_upper,,,,80,"[0.8629459151, 0.9426511433, 0.2680711568, 0.3414561951]",q06,0.3770410814553518,0.09426027036383795,6.713867187499993e-11,64.46059911830187,5615855525.967719
rb_g023_v1,rb_g023,train,q,7,silicon_die_lower,,,,80,"[0.7665342488, 0.849693999, 0.2847601442, 0.3494455743]",q07,0.34404291428718725,0.08601072857179681,6.866455078125003e-11,63.95771972676636,5010488095.716688
rb_g023_v1,rb_g023,train,q,8,silicon_die_upper,,,,100,"[0.481550362, 0.5558645135, 0.7540395779, 0.8306642811]",q08,0.4004371243296108,0.1001092810824027,8.392333984375013e-11,70.32245196706585,4771463160.011879
rb_g023_v1,rb_g023,train,q,9,silicon_die_lower,,,,80,"[0.2065247187, 0.2745608412, 0.1124281184, 0.2006769356]",q09,0.3483216578601458,0.08708041446503645,6.866455078124994e-11,58.013895868360784,5072801815.449452
rb_g023_v2,rb_g023,train,k,0,silicon_die_upper,600.0,600.0,600.0,400,"[0.7124184102, 0.8594540556, 0.7121367231, 0.8610272017]",k00,,,,,
rb_g023_v2,rb_g023,train,k,1,silicon_die_lower,50.0,50.0,50.0,216,"[0.0825863707, 0.2276635106, 0.1339456119, 0.2277787905]",k01,,,,,
rb_g023_v2,rb_g023,train,k,2,silicon_die_upper,135.0,135.0,135.0,400,"[0.4429130007, 0.6065433146, 0.253798275, 0.4070015135]",k02,,,,,
rb_g023_v2,rb_g023,train,k,3,silicon_die_lower,150.0,150.0,150.0,440,"[0.1777003745, 0.3363139997, 0.4808351309, 0.652782295]",k03,,,,,
rb_g023_v2,rb_g023,train,k,4,silicon_die_upper,400.0,400.0,400.0,256,"[0.2694800973, 0.4032660819, 0.0420857895, 0.1660852541]",k04,,,,,
rb_g023_v2,rb_g023,train,k,5,silicon_die_lower,20.0,20.0,20.0,252,"[0.4292921077, 0.5646588824, 0.0815942633, 0.1886983731]",k05,,,,,
rb_g023_v2,rb_g023,train,k,6,silicon_die_upper,120.0,120.0,120.0,560,"[0.5030464861, 0.65959651, 0.4171352264, 0.6327751565]",k06,,,,,
rb_g023_v2,rb_g023,train,k,7,silicon_die_lower,140.0,140.0,140.0,252,"[0.3051493107, 0.4136739496, 0.7395746014, 0.8763939864]",k07,,,,,
rb_g023_v2,rb_g023,train,q,0,silicon_die_upper,,,,80,"[0.8356376247, 0.9180487564, 0.0987826211, 0.167615933]",q00,0.6629056383154571,0.08286320478943214,6.713867187499994e-11,116.86034625738627,9873678161.964054
rb_g023_v2,rb_g023,train,q,1,silicon_die_lower,,,,96,"[0.1154190027, 0.1869796992, 0.8523757511, 0.9385961973]",q01,0.7841686445634128,0.0980210805704266,8.239746093749986e-11,127.09388279154936,9516903016.686651
rb_g023_v2,rb_g023,train,q,2,silicon_die_upper,,,,80,"[0.3923953794, 0.4572708309, 0.5207060051, 0.6073322841]",q02,0.6865507225990539,0.08581884032488174,6.713867187499996e-11,122.16381183691817,10225860944.602642
rb_g023_v2,rb_g023,train,q,3,silicon_die_lower,,,,100,"[0.5803289523, 0.670901813, 0.4198105567, 0.4863036197]",q03,0.9841136304269232,0.1230142038033654,8.583068847656241e-11,163.40706249416655,11465754823.761583
rb_g023_v2,rb_g023,train,q,4,silicon_die_upper,,,,96,"[0.7560575726, 0.8442621477, 0.4552698468, 0.5257657161]",q04,0.9728848581256128,0.1216106072657016,8.056640625000016e-11,156.46120173856858,12075564784.49243
rb_g023_v2,rb_g023,train,q,5,silicon_die_lower,,,,100,"[0.3010455313, 0.3861298833, 0.3733509602, 0.4412938687]",q05,0.9776109837751084,0.12220137297188854,8.583068847656241e-11,169.11114986645788,11389993499.1441
rb_g023_v2,rb_g023,train,q,6,silicon_die_upper,,,,80,"[0.8629459151, 0.9426511433, 0.2680711568, 0.3414561951]",q06,0.6816499060083355,0.08520623825104194,6.713867187499993e-11,116.53786149940977,10152865509.127802
rb_g023_v2,rb_g023,train,q,7,silicon_die_lower,,,,80,"[0.7665342488, 0.849693999, 0.2847601442, 0.3494455743]",q07,0.6527477311250323,0.08159346639062903,6.866455078125003e-11,121.34607255631029,9506327846.002243
rb_g023_v2,rb_g023,train,q,8,silicon_die_upper,,,,100,"[0.481550362, 0.5558645135, 0.7540395779, 0.8306642811]",q08,0.8335875106474667,0.10419843883093334,8.392333984375013e-11,146.38981781719318,9932725654.144054
rb_g023_v2,rb_g023,train,q,9,silicon_die_lower,,,,80,"[0.2065247187, 0.2745608412, 0.1124281184, 0.2006769356]",q09,0.7637803744135963,0.09547254680169953,6.866455078124994e-11,127.20964691009478,11123357915.015442
rb_g023_v3,rb_g023,train,k,0,silicon_die_upper,20.0,20.0,20.0,400,"[0.7124184102, 0.8594540556, 0.7121367231, 0.8610272017]",k00,,,,,
rb_g023_v3,rb_g023,train,k,1,silicon_die_lower,120.0,120.0,120.0,216,"[0.0825863707, 0.2276635106, 0.1339456119, 0.2277787905]",k01,,,,,
rb_g023_v3,rb_g023,train,k,2,silicon_die_upper,140.0,140.0,140.0,400,"[0.4429130007, 0.6065433146, 0.253798275, 0.4070015135]",k02,,,,,
rb_g023_v3,rb_g023,train,k,3,silicon_die_lower,385.0,385.0,385.0,440,"[0.1777003745, 0.3363139997, 0.4808351309, 0.652782295]",k03,,,,,
rb_g023_v3,rb_g023,train,k,4,silicon_die_upper,600.0,600.0,600.0,256,"[0.2694800973, 0.4032660819, 0.0420857895, 0.1660852541]",k04,,,,,
rb_g023_v3,rb_g023,train,k,5,silicon_die_lower,50.0,50.0,50.0,252,"[0.4292921077, 0.5646588824, 0.0815942633, 0.1886983731]",k05,,,,,
rb_g023_v3,rb_g023,train,k,6,silicon_die_upper,135.0,135.0,135.0,560,"[0.5030464861, 0.65959651, 0.4171352264, 0.6327751565]",k06,,,,,
rb_g023_v3,rb_g023,train,k,7,silicon_die_lower,150.0,150.0,150.0,252,"[0.3051493107, 0.4136739496, 0.7395746014, 0.8763939864]",k07,,,,,
rb_g023_v3,rb_g023,train,q,0,silicon_die_upper,,,,80,"[0.8356376247, 0.9180487564, 0.0987826211, 0.167615933]",q00,0.9417805929306289,0.0784817160775524,6.713867187499994e-11,166.02182848833618,14027393849.614035
rb_g023_v3,rb_g023,train,q,1,silicon_die_lower,,,,96,"[0.1154190027, 0.1869796992, 0.8523757511, 0.9385961973]",q01,1.2219177362359799,0.10182647801966499,8.239746093749986e-11,198.04192711193335,14829555696.659502
rb_g023_v3,rb_g023,train,q,2,silicon_die_upper,,,,80,"[0.3923953794, 0.4572708309, 0.5207060051, 0.6073322841]",q02,1.1167647861031849,0.09306373217526541,6.713867187499996e-11,198.71546078800037,16633703868.649628
rb_g023_v3,rb_g023,train,q,3,silicon_die_lower,,,,100,"[0.5803289523, 0.670901813, 0.4198105567, 0.4863036197]",q03,1.528833714917619,0.12740280957646824,8.583068847656241e-11,253.8550617252964,17812203793.92732
rb_g023_v3,rb_g023,train,q,4,silicon_die_upper,,,,96,"[0.7560575726, 0.8442621477, 0.4552698468, 0.5257657161]",q04,1.3776401162452228,0.11480334302043524,8.056640625000016e-11,221.55471570013762,17099436109.516428
rb_g023_v3,rb_g023,train,q,5,silicon_die_lower,,,,100,"[0.3010455313, 0.3861298833, 0.3733509602, 0.4412938687]",q05,1.311385072891741,0.10928208940764508,8.583068847656241e-11,226.84875812058942,15278743491.02813
rb_g023_v3,rb_g023,train,q,6,silicon_die_upper,,,,80,"[0.8629459151, 0.9426511433, 0.2680711568, 0.3414561951]",q06,0.9461522122414344,0.0788460176867862,6.713867187499993e-11,161.75833737473457,14092507132.148798
rb_g023_v3,rb_g023,train,q,7,silicon_die_lower,,,,80,"[0.7665342488, 0.849693999, 0.2847601442, 0.3494455743]",q07,0.9923992958384078,0.08269994131986731,6.866455078125003e-11,184.48743858532353,14452862278.23686
rb_g023_v3,rb_g023,train,q,8,silicon_die_upper,,,,100,"[0.481550362, 0.5558645135, 0.7540395779, 0.8306642811]",q08,1.3514048669129162,0.112617072242743,8.392333984375013e-11,237.32590728355487,16102848974.18268
rb_g023_v3,rb_g023,train,q,9,silicon_die_lower,,,,80,"[0.2065247187, 0.2745608412, 0.1124281184, 0.2006769356]",q09,1.2117216056828655,0.10097680047357212,6.866455078124994e-11,201.81544692163075,17646974922.22941
rb_g023_v4,rb_g023,train,k,0,silicon_die_upper,50.0,50.0,50.0,400,"[0.7124184102, 0.8594540556, 0.7121367231, 0.8610272017]",k00,,,,,
rb_g023_v4,rb_g023,train,k,1,silicon_die_lower,135.0,135.0,135.0,216,"[0.0825863707, 0.2276635106, 0.1339456119, 0.2277787905]",k01,,,,,
rb_g023_v4,rb_g023,train,k,2,silicon_die_upper,150.0,150.0,150.0,400,"[0.4429130007, 0.6065433146, 0.253798275, 0.4070015135]",k02,,,,,
rb_g023_v4,rb_g023,train,k,3,silicon_die_lower,400.0,400.0,400.0,440,"[0.1777003745, 0.3363139997, 0.4808351309, 0.652782295]",k03,,,,,
rb_g023_v4,rb_g023,train,k,4,silicon_die_upper,20.0,20.0,20.0,256,"[0.2694800973, 0.4032660819, 0.0420857895, 0.1660852541]",k04,,,,,
rb_g023_v4,rb_g023,train,k,5,silicon_die_lower,120.0,120.0,120.0,252,"[0.4292921077, 0.5646588824, 0.0815942633, 0.1886983731]",k05,,,,,
rb_g023_v4,rb_g023,train,k,6,silicon_die_upper,140.0,140.0,140.0,560,"[0.5030464861, 0.65959651, 0.4171352264, 0.6327751565]",k06,,,,,
rb_g023_v4,rb_g023,train,k,7,silicon_die_lower,385.0,385.0,385.0,252,"[0.3051493107, 0.4136739496, 0.7395746014, 0.8763939864]",k07,,,,,
rb_g023_v4,rb_g023,train,q,0,silicon_die_upper,,,,80,"[0.8356376247, 0.9180487564, 0.0987826211, 0.167615933]",q00,1.919344088593033,0.0803072840415495,6.713867187499994e-11,338.3516473777733,28587757770.462074
rb_g023_v4,rb_g023,train,q,1,silicon_die_lower,,,,96,"[0.1154190027, 0.1869796992, 0.8523757511, 0.9385961973]",q01,2.634361044847385,0.11022431149989059,8.239746093749986e-11,426.96322555827743,31971386191.688618
rb_g023_v4,rb_g023,train,q,2,silicon_die_upper,,,,80,"[0.3923953794, 0.4572708309, 0.5207060051, 0.6073322841]",q02,2.332543216136818,0.09759595046597565,6.713867187499996e-11,415.04926173390766,34742170957.4415
rb_g023_v4,rb_g023,train,q,3,silicon_die_lower,,,,100,"[0.5803289523, 0.670901813, 0.4198105567, 0.4863036197]",q03,2.9169106453505083,0.12204647051675767,8.583068847656241e-11,484.3381753669187,33984472187.32286
rb_g023_v4,rb_g023,train,q,4,silicon_die_upper,,,,96,"[0.7560575726, 0.8442621477, 0.4552698468, 0.5257657161]",q04,2.4603149581849033,0.10294204845961939,8.056640625000016e-11,395.67255240731123,30537727480.98589
rb_g023_v4,rb_g023,train,q,5,silicon_die_lower,,,,100,"[0.3010455313, 0.3861298833, 0.3733509602, 0.4412938687]",q05,2.387087481606684,0.099878137305719,8.583068847656241e-11,412.92816421465,27811584923.48014
rb_g023_v4,rb_g023,train,q,6,silicon_die_upper,,,,80,"[0.8629459151, 0.9426511433, 0.2680711568, 0.3414561951]",q06,1.8782694341930641,0.07858867925493992,6.713867187499993e-11,321.1171911727505,27975969463.471996
rb_g023_v4,rb_g023,train,q,7,silicon_die_lower,,,,80,"[0.7665342488, 0.849693999, 0.2847601442, 0.3494455743]",q07,2.122728303085975,0.08881708381112867,6.866455078125003e-11,394.6160674348853,30914471571.342754
rb_g023_v4,rb_g023,train,q,8,silicon_die_upper,,,,100,"[0.481550362, 0.5558645135, 0.7540395779, 0.8306642811]",q08,2.873149489592491,0.12021545981558542,8.392333984375013e-11,504.56589736609266,34235404536.351494
rb_g023_v4,rb_g023,train,q,9,silicon_die_lower,,,,80,"[0.2065247187, 0.2745608412, 0.1124281184, 0.2006769356]",q09,2.3752913384091365,0.09938457482883417,6.866455078124994e-11,395.61107170319804,34592687367.55141
rb_g023_v5,rb_g023,train,k,0,silicon_die_upper,120.0,120.0,120.0,400,"[0.7124184102, 0.8594540556, 0.7121367231, 0.8610272017]",k00,,,,,
rb_g023_v5,rb_g023,train,k,1,silicon_die_lower,140.0,140.0,140.0,216,"[0.0825863707, 0.2276635106, 0.1339456119, 0.2277787905]",k01,,,,,
rb_g023_v5,rb_g023,train,k,2,silicon_die_upper,385.0,385.0,385.0,400,"[0.4429130007, 0.6065433146, 0.253798275, 0.4070015135]",k02,,,,,
rb_g023_v5,rb_g023,train,k,3,silicon_die_lower,600.0,600.0,600.0,440,"[0.1777003745, 0.3363139997, 0.4808351309, 0.652782295]",k03,,,,,
