sample_id,group_id,split_role,top_h_W_m2K,bottom_h_W_m2K,package_total_power_W,source_count,layout_kind,alignment_relation,peak_deltaT_K,mean_deltaT_K,top_heat_fraction,bottom_heat_fraction,full_field_cv_rmse_K,full_field_cv_relative_rmse,full_field_max_abs_error_K,max_abs_layer_average_error_K,max_abs_layer_drop_error_K,solver_peak_minus_projected_peak_K,energy_balance_relative_error
p1g_g001_t1_b1_p0,p1g_g001,train,1400.0,120.0,4.0,4,clustered,partly_aligned,32.942348324565444,24.48266889416888,0.9543016023756125,0.04569839774251472,1.135501816521526,0.04577212081979593,5.217028678341251,1.2153088593544794,1.9301642562741108,0.08975480769902333,-1.1812717470860434e-10
p1g_g001_t1_b1_p1,p1g_g001,train,1400.0,120.0,6.0,4,clustered,partly_aligned,49.413522485394026,36.7240033399893,0.9543016023413696,0.04569839774102894,1.7032527247285332,0.04577212081993177,7.825543017314089,1.8229632889563732,2.895246384300151,0.13463221154796656,-8.239853244162987e-11
p1g_g002_t0_b0_p0,p1g_g002,train,1000.0,20.0,4.0,5,mixed,offset,42.987731336565616,38.673919081833205,0.9823726069857369,0.01762739313441688,0.5281142881096486,0.013645063858850153,2.1291537662658016,0.512077427374038,0.7985678638249283,0.013010028683140717,-1.2015379663443682e-10
p1g_g002_t0_b0_p1,p1g_g002,train,1000.0,20.0,6.0,5,mixed,offset,64.48159700280542,58.010878620756415,0.9823726069512855,0.01762739313381718,0.7921714321481282,0.013645063859037482,3.193730649397992,0.7681161410615687,1.1978517956984547,0.019515043022352074,-8.510265640341667e-11
p1g_g002_t0_b1_p0,p1g_g002,train,1000.0,120.0,4.0,5,mixed,offset,41.143101304520485,33.40094589360412,0.9378689698831164,0.06213103023636368,1.4624101300356243,0.043208449627619945,6.720797221529779,1.6786483455987877,2.599528961990586,0.012453268386082073,-1.1948009248641256e-10
p1g_g002_t0_b1_p1,p1g_g002,train,1000.0,120.0,6.0,5,mixed,offset,61.71465195483495,50.10141883868068,0.9378689698501872,0.062131030234242934,2.1936151949818092,0.043208449627698084,10.08119583195645,2.517972518309193,3.8992934428565604,0.018679902581766328,-8.443012955439144e-11
p1g_g002_t1_b0_p0,p1g_g002,train,1400.0,20.0,4.0,5,mixed,offset,31.90445592144937,27.965906939804086,0.9872215241321378,0.0127784759863551,0.4508200431601118,0.016107223887891556,2.13404663123157,0.5149713595855019,0.602208958480162,0.013069410971070283,-1.184929168673854e-10
p1g_g002_t1_b0_p1,p1g_g002,train,1400.0,20.0,6.0,5,mixed,offset,47.85668388067825,41.94886040825104,0.9872215240967578,0.012778475985922397,0.6762300647284186,0.016107223888170392,3.201069946850737,0.7724570393780823,0.9033134376863359,0.019604116457060172,-8.26801451377553e-11
p1g_g002_t1_b1_p0,p1g_g002,train,1400.0,120.0,4.0,5,mixed,offset,30.91864160531094,24.45127408353874,0.9543915241205312,0.04560847599760616,1.0969220755138662,0.044279686123952944,4.957917765740717,1.223387648034418,1.9304181692133398,0.012658579329411168,-1.1813734712706747e-10
p1g_g002_t1_b1_p1,p1g_g002,train,1400.0,120.0,6.0,5,mixed,offset,46.37796240652369,36.67691112402708,0.9543915240862703,0.045608475996039406,1.6453831132178585,0.04427968612407616,7.436876648358691,1.8350814719840969,2.8956272537230348,0.018987868996305224,-8.230970534780131e-11
p1g_g003_t0_b0_p0,p1g_g003,train,1000.0,20.0,4.0,5,distributed,offset,43.45551021081741,38.67143786322556,0.9823742417640869,0.017625758356156866,0.5390885341081912,0.013926783045464654,2.2746781364593858,0.5042868679461776,0.7942989716993338,0.0616979082581679,-1.202438079661583e-10
p1g_g003_t0_b0_p1,p1g_g003,train,1000.0,20.0,6.0,5,distributed,offset,65.1832653141442,58.00715679284614,0.9823742417296413,0.017625758355558255,0.8086328011466826,0.013926783045674124,3.4120172046069683,0.7564303019196359,1.1914484575100346,0.09254686238415388,-8.519952798824448e-11
p1g_g003_t0_b1_p0,p1g_g003,train,1000.0,120.0,4.0,5,distributed,offset,41.61036000884917,33.39895369467432,0.93787473196367,0.0621252681559758,1.4639732023664056,0.04324712759053065,6.403018157436804,1.6777746595040526,2.5984207635881944,0.06105632154270779,-1.1964579327283786e-10
p1g_g003_t0_b1_p1,p1g_g003,train,1000.0,120.0,6.0,5,distributed,offset,62.41554001128526,50.09843054027817,0.9378747319307449,0.06212526815381935,2.1959598034807333,0.04324712759066979,9.604527235805506,2.5166619891713253,3.897631145260391,0.09158448231141847,-8.456427225134178e-11
p1g_g003_t1_b0_p0,p1g_g003,train,1400.0,20.0,4.0,5,distributed,offset,32.367574280707686,27.963407901863636,0.987223166979632,0.012776833138955309,0.46437751329009574,0.016586965278621097,2.1621499717779216,0.5071722678573565,0.5979062781617017,0.061411939171819085,-1.185872806203081e-10
p1g_g003_t1_b0_p1,p1g_g003,train,1400.0,20.0,6.0,5,distributed,offset,48.55136141953852,41.945111851337494,0.9872231669442506,0.01277683313851976,0.6965662699251653,0.016586965278959764,3.2432249576802405,0.7607584017861768,0.896859417211715,0.09211790876662462,-8.277036694925854e-11
p1g_g003_t1_b1_p0,p1g_g003,train,1400.0,120.0,4.0,5,distributed,offset,31.381201778451498,24.449226899611862,0.9543973877123721,0.045602612405987605,1.1002621141731468,0.04439915872667433,4.8612738861687035,1.222499878380063,1.9292618588051482,0.060916814565587174,-1.183597525544755e-10
p1g_g003_t1_b1_p1,p1g_g003,train,1400.0,120.0,6.0,5,distributed,offset,47.07180266620361,36.67384034812574,0.9543973876781108,0.04560261240436653,1.6503931712106366,0.044399158726916105,7.2919108290462304,1.8337498175088172,2.8938927881197287,0.09137522185983471,-8.247733977266118e-11
p1g_g004_t0_b0_p0,p1g_g004,train,1000.0,20.0,4.0,8,distributed,partly_aligned,43.429655659535,38.74075210590661,0.982328573310377,0.017671426809844598,0.560334841642821,0.014451928356049729,2.687253343264331,0.5343446156980463,0.8157244718317997,0.0025194226046210133,-1.2022163820013532e-10
p1g_g004_t0_b0_p1,p1g_g004,train,1000.0,20.0,6.0,8,distributed,partly_aligned,65.14448348724699,58.111128156848395,0.9823285732759341,0.017671426809227293,0.8405022624523378,0.014451928356345244,4.03088001490238,0.8015169235471262,1.223586707721779,0.0037791339099157994,-8.516144039960594e-11
p1g_g004_t0_b1_p0,p1g_g004,train,1000.0,120.0,4.0,8,distributed,partly_aligned,41.58083642739871,33.4546068968038,0.937713764992865,0.062286235126575676,1.4768372983702556,0.04356536669872841,6.980819018445288,1.663155142275059,2.623150820481328,0.0025236775470034445,-1.1944063793567494e-10
p1g_g004_t0_b1_p1,p1g_g004,train,1000.0,120.0,6.0,8,distributed,partly_aligned,62.371254639130996,50.18191034348741,0.9377137649599376,0.06228623512449185,2.215255947482512,0.04356536669878913,10.471228527334006,2.494732713320502,3.934726230587728,0.0037855163178619478,-8.442948192429374e-11
p1g_g004_t1_b0_p0,p1g_g004,train,1400.0,20.0,4.0,8,distributed,partly_aligned,32.34432019531545,28.03321993770581,0.98717727310988,0.012822727008700177,0.4883938190423894,0.017406061740434284,2.6930964842873095,0.5372372092482465,0.619357294020972,0.0025313168702041366,-1.1858019254018526e-10
p1g_g004_t1_b0_p1,p1g_g004,train,1400.0,20.0,6.0,8,distributed,partly_aligned,48.516480291467815,42.04982990508446,0.9871772730744893,0.0128227270082503,0.7325907285556912,0.01740606174085661,4.039644726434915,0.8058558138720855,0.9290359410118754,0.00379697530206613,-8.273966234373376e-11
p1g_g004_t1_b1_p0,p1g_g004,train,1400.0,120.0,4.0,8,distributed,partly_aligned,31.35536822916248,24.506416138862075,0.9542335849664285,0.0457664151516559,1.1154058534592395,0.044923491830779996,5.218058712103925,1.2079637026565138,1.954128985814009,0.002535563092749271,-1.1808441724436847e-10
p1g_g004_t1_b1_p1,p1g_g004,train,1400.0,120.0,6.0,8,distributed,partly_aligned,47.033052342288045,36.759624207015904,0.9542335849321718,0.04576641515010476,1.6731087801363744,0.04492349183093369,7.827088067908221,1.811945553915848,2.9311934786221627,0.0038033446386407377,-8.22765281830821e-11
p1g_g005_t0_b0_p0,p1g_g005,train,1000.0,20.0,4.0,5,clustered,partly_aligned,44.32979476469791,38.69173599713684,0.9823608681145143,0.017639132005691484,0.5717342606303601,0.014764657197908494,3.3025934171402014,0.5122647694657303,0.7851296584843794,0.07292383071404629,-1.2020576894977708e-10
p1g_g005_t0_b0_p1,p1g_g005,train,1000.0,20.0,6.0,5,clustered,partly_aligned,66.49469214498782,58.037603993702,0.9823608680800587,0.017639132005082447,0.8576013909330026,0.01476465719820211,4.953890125712462,0.768397154199306,1.1776944876945663,0.10938574607132523,-8.514114644790165e-11
p1g_g005_t0_b1_p0,p1g_g005,train,1000.0,120.0,4.0,5,clustered,partly_aligned,42.48522727333375,33.41525129967673,0.9378275940450582,0.062172406074448475,1.4698758066066449,0.043408660073025816,6.491439120079065,1.6689328948072557,2.5875229404116453,0.07294696788989086,-1.1950669620564014e-10
p1g_g005_t0_b1_p1,p1g_g005,train,1000.0,120.0,6.0,5,clustered,partly_aligned,63.72784090803515,50.12287694778874,0.937827594012124,0.062172406072325014,2.2048137098397715,0.04340866007313953,9.737158679776314,2.503399342122634,3.8812844104897977,0.10942045183531945,-8.44490588569613e-11
p1g_g005_t1_b0_p0,p1g_g005,train,1400.0,20.0,4.0,5,clustered,partly_aligned,33.24735582151317,27.983851810613128,0.9872097273187432,0.0127902727998245,0.5040668857150675,0.01799658259627934,3.308482075835741,0.5151548486744559,0.5887784942453322,0.07304773057381908,-1.1856773549090427e-10
p1g_g005_t1_b0_p1,p1g_g005,train,1400.0,20.0,6.0,5,clustered,partly_aligned,49.871033730755755,41.975777714447524,0.9872097272833424,0.012790272799376196,0.7561003285654564,0.017996582596740057,4.962723113763332,0.7727322730123092,0.8831677413461421,0.1095715958616097,-8.271863749520492e-11
p1g_g005_t1_b1_p0,p1g_g005,train,1400.0,120.0,4.0,5,clustered,partly_aligned,32.26177362953359,24.465974321068302,0.9543494193591833,0.04565058075897817,1.1112328413621386,0.044826365981842836,4.784820358618845,1.2136954450218127,1.9184468236803127,0.07307071719344549,-1.1816143896670184e-10
p1g_g005_t1_b1_p1,p1g_g005,train,1400.0,120.0,6.0,5,clustered,partly_aligned,48.392660442837155,36.69896148032091,0.9543494193249339,0.04565058075740683,1.6668492619924138,0.044826365982042975,7.177230537727269,1.820543167465928,2.8776702354246595,0.10960607579005455,-8.234068057018835e-11
p1g_g006_t0_b0_p0,p1g_g006,train,1000.0,20.0,4.0,8,mixed,partly_aligned,42.98391250481103,38.722440357487116,0.9823406382078292,0.017659361912318858,0.5510133243180008,0.014218982212837126,2.464017616273452,0.5304848758584058,0.8225602453392753,0.0004649580592399616,-1.201480998025417e-10
p1g_g006_t0_b0_p1,p1g_g006,train,1000.0,20.0,6.0,8,mixed,partly_aligned,64.47586875518016,58.08366053423419,0.9823406381733841,0.01765936191171542,0.8265199864619435,0.014218982213066767,3.696026424339948,0.7957273137881202,1.2338403679719363,0.000697437084397734,-8.509954777894772e-11
p1g_g006_t0_b1_p0,p1g_g006,train,1000.0,120.0,4.0,8,mixed,partly_aligned,41.13661332353246,33.43990418353556,0.9377562899711961,0.06224371014825568,1.4733771359070902,0.04348430461675034,6.814571510052247,1.6738664636645808,2.627039727381259,0.00046984393225102394,-1.194517679214968e-10
p1g_g006_t0_b1_p1,p1g_g006,train,1000.0,120.0,6.0,8,mixed,partly_aligned,61.70491998335797,50.159856273578704,0.9377562899382553,0.06224371014614325,2.210065703789117,0.04348430461683951,10.221857264739072,2.5107996954077407,3.940559590942655,0.0007047658959322689,-8.439854370934086e-11
p1g_g006_t1_b0_p0,p1g_g006,train,1400.0,20.0,4.0,8,mixed,partly_aligned,31.89917337971866,28.014776680047298,0.9871893975587591,0.012810602559742285,0.47725108137103855,0.01702190480443235,2.36886516766657,0.5333781739838059,0.626210822196299,0.00048524778605951724,-1.1850140313462987e-10
p1g_g006_t1_b0_p1,p1g_g006,train,1400.0,20.0,6.0,8,mixed,partly_aligned,47.84876006808531,42.02216501860678,0.9871893975233724,0.012810602559301701,0.7158766220470689,0.01702190480479964,3.553297751498235,0.8000672609757089,0.9393162332683005,0.000727871683182002,-8.267416381121014e-11
p1g_g006_t1_b1_p0,p1g_g006,train,1400.0,120.0,4.0,8,mixed,partly_aligned,30.91141282678427,24.49130762839696,0.9542768591125766,0.045723141005511385,1.110573288328059,0.044760684844305926,5.052123944125242,1.2186606935861732,1.9580133247570757,0.0004901189644783699,-1.180880324080924e-10
p1g_g006_t1_b1_p1,p1g_g006,train,1400.0,120.0,6.0,8,mixed,partly_aligned,46.367119238734006,36.7369614413161,0.9542768590783304,0.04572314100395126,1.6658599324399828,0.044760684844466235,7.578185915936444,1.827991040311872,2.937019987038582,0.0007351784502134251,-8.228163520899538e-11
p1g_g007_t0_b0_p0,p1g_g007,train,1000.0,20.0,4.0,5,distributed,offset,42.72343527500851,38.692537400305696,0.9823603401011906,0.01763966001900218,0.5122262763250129,0.01322877613041942,2.0137565271712106,0.5135749999591894,0.7800502760095469,0.013647146650612285,-1.201927342375786e-10
p1g_g007_t0_b0_p1,p1g_g007,train,1000.0,20.0,6.0,5,distributed,offset,64.08515291045876,58.03880609846227,0.982360340066753,0.017639660018399127,0.7683394144721671,0.013228776130610107,3.020634790757356,0.770362499939381,1.1700754139785658,0.020470719973047835,-8.515215384659787e-11
p1g_g007_t0_b1_p0,p1g_g007,train,1000.0,120.0,4.0,5,distributed,offset,40.87815802342624,33.41589475550286,0.9378257329637347,0.06217426715576915,1.4467735319611377,0.042730346666267384,6.564297691700972,1.6641927316765077,2.583422327412677,0.013651782873523644,-1.1950387901471515e-10
p1g_g007_t0_b1_p1,p1g_g007,train,1000.0,120.0,6.0,5,distributed,offset,61.31723703317789,50.12384213152922,0.9378257329308232,0.06217426715364712,2.170160297870333,0.04273034666633366,9.846446537215343,2.4962890974264837,3.8751334909902084,0.02047767430622116,-8.447024561301457e-11
p1g_g007_t1_b0_p0,p1g_g007,train,1400.0,20.0,4.0,5,distributed,offset,31.641100922685325,27.984658969205544,0.9872091966991728,0.012790803419365691,0.4358901220639867,0.015564607208249091,2.0184592192817377,0.5164627521427292,0.5836783602920832,0.013659869794992119,-1.1853853315590968e-10
p1g_g007_t1_b0_p1,p1g_g007,train,1400.0,20.0,6.0,5,distributed,offset,47.461651382526725,41.97698845234327,0.9872091966637901,0.012790803418923568,0.6538351830864607,0.015564607208565654,3.0276888289297403,0.7746941282141506,0.8755175404114652,0.020489804686917523,-8.271371319349778e-11
p1g_g007_t1_b1_p0,p1g_g007,train,1400.0,120.0,4.0,5,distributed,offset,30.65497000661594,24.466635536376966,0.954347525490959,0.04565247462720337,1.0809870966427226,0.043614137953585354,4.802216255360122,1.2089460430076997,1.9143224491695037,0.013664487686753546,-1.1816239653406058e-10
p1g_g007_t1_b1_p1,p1g_g007,train,1400.0,120.0,6.0,5,distributed,offset,45.982455008474574,36.69995330328339,0.9543475254567052,0.04565247462562999,1.6214806449119132,0.04361413795370704,7.203324382788878,1.813419064444929,2.8714836736581333,0.020496731524531242,-8.233523122550916e-11
p1g_g008_t0_b0_p0,p1g_g008,train,1000.0,20.0,4.0,4,mixed,offset,43.5989680389884,38.69777224992156,0.9823568910627138,0.017643109057429926,0.5471573590319626,0.014128509320561485,2.361145109040365,0.5225131027390262,0.8126657672850683,0.0072541577304718885,-1.2014376993274567e-10
p1g_g008_t0_b0_p1,p1g_g008,train,1000.0,20.0,6.0,4,mixed,offset,65.39845205644053,58.046658372889084,0.9823568910282717,0.01764310905682988,0.820736038532153,0.014128509320774803,3.5417176635599503,0.7837696541088235,1.2189986508893753,0.010881236594912025,-8.510157393596766e-11
p1g_g008_t0_b1_p0,p1g_g008,train,1000.0,120.0,4.0,4,mixed,offset,41.75273095369295,33.4200978764393,0.9378135761853177,0.062186423934152565,1.4705598334842878,0.04342587624491216,6.716867889908826,1.6763814442251146,2.615416124872638,0.006698504902828972,-1.1947025313485682e-10
p1g_g008_t0_b1_p1,p1g_g008,train,1000.0,120.0,6.0,4,mixed,offset,62.629096428592845,50.13014681293363,0.9378135761524029,0.06218642393202963,2.2058397501552798,0.04342587624500688,10.075301834525305,2.514572166249195,3.9231241871801217,0.010047757354470832,-8.443253503761146e-11
p1g_g008_t1_b0_p0,p1g_g008,train,1400.0,20.0,4.0,4,mixed,offset,32.51616717952919,27.989931413867332,0.9872057306365223,0.01279426948198338,0.47286863247143224,0.016880715988763045,2.366207373220959,0.5254062802901558,0.6163060251665797,0.0073197616547417965,-1.1850566361548687e-10
p1g_g008_t1_b0_p1,p1g_g008,train,1400.0,20.0,6.0,4,mixed,offset,48.774250767801334,41.98489711934289,0.9872057306011287,0.01279426948154775,0.7093029486965993,0.016880715989098204,3.5493110598387148,0.7881094204357737,0.9244590377184068,0.010979642484301166,-8.26764189517289e-11
p1g_g008_t1_b1_p0,p1g_g008,train,1400.0,120.0,4.0,4,mixed,offset,31.529171776657847,24.47095466411348,0.9543351545450858,0.04566484557306946,1.1073083512178008,0.04466511276190213,4.9542472867877905,1.2211457894762248,1.946339995791675,0.006910017290067572,-1.1815523559555174e-10
p1g_g008_t1_b1_p1,p1g_g008,train,1400.0,120.0,6.0,4,mixed,offset,47.29375766354582,36.706431994887474,0.9543351545108316,0.04566484557149192,1.6609625267749968,0.04466511276207364,7.431370929926402,1.8317186841480293,2.919509993592442,0.01036502593763089,-8.232353687631644e-11
p1g_g009_t0_b0_p0,p1g_g009,train,1000.0,20.0,4.0,5,clustered,offset,42.79143148738643,38.68455279695094,0.9823656008451864,0.01763439927498249,0.5236997114786834,0.013527345342758785,2.0803445156230396,0.5074672914623761,0.7868194072143524,0.009978122643985898,-1.2016891648425343e-10
p1g_g009_t0_b0_p1,p1g_g009,train,1000.0,20.0,6.0,5,clustered,offset,64.18714722902115,58.02682919342609,0.9823656008107493,0.01763439927437586,0.7855495672036903,0.013527345342978177,3.1205167733671715,0.7612009371939621,1.18022911078873,0.014967183961971386,-8.512516617524095e-11
p1g_g009_t0_b1_p0,p1g_g009,train,1000.0,120.0,4.0,5,clustered,offset,40.946859274318115,33.40948382568274,0.9378442754359084,0.062155724683587876,1.452517277609865,0.042905753766483895,6.576675944513738,1.6707905562307133,2.5889531289528236,0.009440750713963553,-1.1949630174257209e-10
p1g_g009_t0_b1_p1,p1g_g009,train,1000.0,120.0,6.0,5,clustered,offset,61.420288909513886,50.11422573679704,0.9378442754029651,0.06215572468146429,2.178775916343137,0.04290575376655212,9.865013916430712,2.5061858342572236,3.8834296933002292,0.014161126069495822,-8.442943566500105e-11
p1g_g009_t1_b0_p0,p1g_g009,train,1400.0,20.0,4.0,5,clustered,offset,31.709304728370796,27.976617022934672,0.98721448340982,0.012785516708710138,0.44863847726881767,0.01602324525287197,2.0804374303457394,0.5103577985555603,0.5904628190886569,0.010145947313560555,-1.1853012495122162e-10
p1g_g009_t1_b0_p1,p1g_g009,train,1400.0,20.0,6.0,5,clustered,offset,47.56395709103407,41.964925532934004,0.9872144833744253,0.012785516708266066,0.6729577158944409,0.016023245253223115,3.1206561455194333,0.7655366978335678,0.8856942286078606,0.0152189209721314,-8.269140233663208e-11
p1g_g009_t1_b1_p0,p1g_g009,train,1400.0,120.0,4.0,5,clustered,offset,30.723735183165275,24.460047663885295,0.954366394628158,0.04563360548998287,1.0878303502231768,0.04389764220473355,4.814103478129198,1.2155431621440584,1.919860978554425,0.009754333071896326,-1.1814084432959504e-10
p1g_g009_t1_b1_p1,p1g_g009,train,1400.0,120.0,6.0,5,clustered,offset,46.08560277327882,36.69007149454597,0.9543663945939014,0.045633605488411076,1.6317455252824886,0.04389764220486205,7.221155216940929,1.8233147431488987,2.87979146773381,0.014631499609151888,-8.231245314978726e-11
p1g_g010_t0_b0_p0,p1g_g010,train,1000.0,20.0,4.0,6,clustered,offset,42.25854801111353,38.71326437117226,0.9823466839077024,0.01765331621247493,0.5188413988092293,0.01339244064084602,1.864134626119153,0.5178442347627197,0.8027028432066459,0.017882266198682828,-1.2017734030145277e-10
p1g_g010_t0_b0_p1,p1g_g010,train,1000.0,20.0,6.0,6,clustered,offset,63.38782201461555,58.069896554764206,0.9823466838732567,0.0176533162118744,0.7782620981981557,0.013392440641036,2.796201939178104,0.7767663521445911,1.2040542647719121,0.026823399296404205,-8.513110355545805e-11
p1g_g010_t0_b1_p0,p1g_g010,train,1000.0,120.0,4.0,6,clustered,offset,40.41196950480605,33.43253667865587,0.9377775991663204,0.062222400953162615,1.4517501075260562,0.042856871744211066,6.517475629808246,1.668454590958902,2.6072295679786066,0.017325134507984785,-1.1948303457742782e-10
p1g_g010_t0_b1_p1,p1g_g010,train,1000.0,120.0,6.0,6,clustered,offset,60.61795425524741,50.14880501626046,0.9377775991333968,0.062222400951053025,2.177625161216989,0.042856871744266375,9.776213444375571,2.502681886348455,3.9108443518369427,0.025987701757969717,-8.444978050192731e-11
p1g_g010_t1_b0_p0,p1g_g010,train,1400.0,20.0,4.0,6,clustered,offset,31.17732674887111,28.005534794674222,0.9871954730997561,0.012804527018776705,0.44292681673406076,0.01580400396623091,1.8689557222107283,0.520732396481435,0.6063369801078125,0.017946682874821818,-1.1853278775175724e-10
p1g_g010_t1_b0_p1,p1g_g010,train,1400.0,20.0,6.0,6,clustered,offset,46.765990121812536,42.0083021905504,0.9871954730643555,0.012804527018339104,0.664390225091011,0.015804003966540758,2.8034335833107207,0.7810985947230051,0.9095054701316485,0.02692002431530227,-8.269461504450959e-11
p1g_g010_t1_b1_p0,p1g_g010,train,1400.0,120.0,4.0,6,clustered,offset,30.190263852777946,24.483736779222305,0.9542985437144611,0.04570145640366817,1.0864461364362705,0.0438047612677762,4.755340596725944,1.2132345382684662,1.9381683784973802,0.01753546605249312,-1.1812927025456332e-10
p1g_g010_t1_b1_p1,p1g_g010,train,1400.0,120.0,6.0,6,clustered,offset,45.28539577772716,36.72560516755525,0.9542985436801867,0.04570145640211445,1.6296692046012906,0.04380476126787547,7.133010894838776,1.8198518073338619,2.9072525676461396,0.02630319908041656,-8.230118438608731e-11
p1g_g011_t0_b0_p0,p1g_g011,train,1000.0,20.0,4.0,4,edge_balanced,offset,44.9218486383765,38.743458406334504,0.9823267902344373,0.017673209885760904,0.5974476210843386,0.015408150066976715,3.6682816223578243,0.5437320658852514,0.8516562735938464,0.002448396699605837,-1.201981569831645e-10
p1g_g011_t0_b0_p1,p1g_g011,train,1000.0,20.0,6.0,4,edge_balanced,offset,67.38277295550193,58.11518760748412,0.982326790199996,0.017673209885138392,0.8961714316159478,0.015408150067329757,5.502422433534321,0.8155980988288434,1.2774844103685723,0.0036725950477602964,-8.513438102634534e-11
p1g_g011_t0_b1_p0,p1g_g011,train,1000.0,120.0,4.0,4,edge_balanced,offset,43.07227787403582,33.456779816506476,0.9377074802097509,0.062292519909634976,1.5027341863730268,0.04432677151771295,7.096364187879772,1.6753297959861584,2.6585408193436706,0.0018835728771477989,-1.1938589700166702e-10
p1g_g011_t0_b1_p1,p1g_g011,train,1000.0,120.0,6.0,4,edge_balanced,offset,64.60841680908635,50.185169723042044,0.9377074801768294,0.06229251990755085,2.254101279486894,0.044326771517803475,10.644546281486328,2.5129946938866397,3.9878112288810144,0.0028253593160911805,-8.438017877014185e-11
